ID,CATEGORY,LABEL,VALUE
us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C_label_en-US', 'label': 'lab_us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718,label_label,item_type,label_label
us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718,label_label,id,lab_us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718_label_en-US
us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718,label_label,label,lab_us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718
us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718,label_label,type,resource
us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718,label_label,lang,en-US
us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718_label_en-US', 'label': 'lab_us-gaap_SubsequentEventLineItems_D4ED52910AEB63C9032C918B27904718', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A,label_label,item_type,label_label
us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A,label_label,id,lab_us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A_label_en-US
us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A,label_label,label,lab_us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A
us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A,label_label,type,resource
us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A,label_label,lang,en-US
us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A_label_en-US', 'label': 'lab_us-gaap_PaymentsToAcquireOtherInvestments_5C170BD85364D7BF6570918B2790B77A', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_LeasesAbstract_05C8161016749CE337F259D932A84EB8,label_label,item_type,label_label
us-gaap_LeasesAbstract_05C8161016749CE337F259D932A84EB8,label_label,id,lab_us-gaap_LeasesAbstract_05C8161016749CE337F259D932A84EB8_label_en-US
us-gaap_LeasesAbstract_05C8161016749CE337F259D932A84EB8,label_label,label,lab_us-gaap_LeasesAbstract_05C8161016749CE337F259D932A84EB8
us-gaap_LeasesAbstract_05C8161016749CE337F259D932A84EB8,label_label,role,http://www.xbrl.org/2003/role/label
